Euskirchen, Bf
Aachen, Horbach Kirche
Aachen, Horbach Linde
Aachen, Am Hügel
Aachen, Am Weißenberg
Aachen, Auf der Hörn
Aachen, Forckenbeckstraße
Aachen, Halifaxstraße
Aachen, Hörn Kastanienweg
Aachen, Hörn Brücke
Aachen, Campus Melaten (Physikzentrum)
Aachen, Hörnstieg
Aachen, Melatener Straße
Aachen, Mies-van-der-Rohe-Straße
Aachen, Muffet
Aachen, Seffenter Weg
Aachen, Otto-Blumenthal-Straße
Aachen, Wendlingweg
Aachen, ASEAG
Aachen, Hüls Elleter Feld
Aachen, Hüls
Aachen, Hüls Friedhof
Aachen, Hüls Gewerbegebiet
Aachen, Hüls Schulzentrum
Aachen, Schönebergstraße
Aachen, Wilmersdorfer Straße
Aachen, Kornelimünster Auf der Gallich
Aachen, Kornelimünster Schulberg
Aachen, Kornelimünster Meischenfeld
Aachen, Kornelimünster Napoleonsberg (Eifelsteig)
Aachen, Kornelimünster Steinkaulweid
Aachen, Kornelimünster Venwegener Straße
Aachen, Danziger Straße
Aachen, Glatzer Straße
Aachen, Gut Grauenhof
Aachen, Königsberger Straße (Polizeipräsidium)
Aachen, Tilsiter Straße
Aachen, Trierer Platz
Aachen, Laurensberg Abzweigung Orsbach
Aachen, Laurensberg Adele-Weidtman-Straße
Aachen, Laurensberg Schulzentrum
Aachen, Laurensberg
Aachen, Laurensberg Haus Linde
Aachen, Laurensberg Kirche
Aachen, Laurensberg Rathaus
Aachen, Laurensberg Laurentiusstraße
Aachen, Laurensberg Pannhauser Straße
Aachen, Laurensberg Rahe
Aachen, Laurensberg Rahe Im Ring
Aachen, Laurensberg Rosenhügel
Aachen, Laurensberg Teichwinkel
Aachen, Laurensberg Tittardshang
Aachen, Laurensberg Viadukt
Aachen, Laurensberg Wildbach
Aachen, Kreuzerdriesch
Aachen, Lintert
Aachen, Lintert Friedhof
Aachen, Lintert Schießstand
Aachen, Oberforstbach Auf dem Bahnes
Aachen, Oberforstbach Kohlshof
Aachen, Schleckheim Kroitzheider Weg
Aachen, Oberforstbach Laschet
Aachen, Lichtenbusch
Aachen, Lichtenbusch Erlenpütz
Aachen, Lichtenbusch Kesselstraße
Aachen, Lichtenbusch Kirche
Aachen, Lichtenbuscher Weg
Aachen, Lichtenbusch Broich (Zollamt)
Aachen, Schleckheim Nerscheider Weg
Aachen, Nütheim
Aachen, Oberforstbach Gewerbegebiet
Aachen, Oberforstbach
Aachen, Oberforstbach Schule
Aachen, Oberforstbach Pascalstraße
Aachen, Schleckheim Aachener Straße
Aachen, Schleckheim Kapelle
Aachen, Schleckheim SCHUMAG
Aachen, Oberforstbach Tannenallee
Aachen, Laurensberg Gut Orth
Aachen, Orsbach Lemiers
Aachen, Orsbach Lemiers Weiher
Aachen, Orsbach Düserhofstraße
Aachen, Orsbach Schule
Aachen, Pumpstation
Aachen, Entenpfuhler Weg
Aachen, Montzener Straße
Aachen, Preuswald
Aachen, Reimser Straße
Aachen, Unterer Backertsweg (Maria im Tann)
Aachen, Richterich Berensberger Straße
Aachen, Richterich Dellstraße
Aachen, Richterich Gierstraße
Aachen, Richterich Hander Weg
Aachen, Richterich Landgraben
Aachen, Richterich Lütterbüschgen
Aachen, Richterich Pfalzgrafenstraße
Aachen, Richterich Kirche
Aachen, Richterich Parkstraße
Aachen, Richterich Rathaus
Aachen, Richterich Roder Weg
Aachen, Richterich Schloss-Schönau-Straße
Aachen, Richterich Schönauer Friede
Aachen, Richterich Siebweg
Aachen, Richterich Siedlung Schönau
Aachen, Richterich Vetschauer Weg
Aachen, Goethestraße (Hangeweiher)
Aachen, Brüsseler Ring
Aachen, Im Brockenfeld
Aachen, Ronheide (Jugendherberge)
Aachen, Ronheider Berg
Aachen, Yorckstraße
Aachen, Eisenbahnweg
Aachen, Bahnhof Rothe Erde (Bus)
Aachen, Am Rott
Aachen, Eilendorf Apolloniaweg
Aachen, Barbarakirche
Aachen, Dresdener Straße
Aachen, Elsassstraße
Aachen, Fringsgraben
Aachen, Geschwister-Scholl-Gymnasium
Aachen, Hohenzollernplatz
Aachen, Kennedypark
Aachen, Mataréstraße
Aachen, Philips
Aachen, Pongs
Aachen, Rottstraße
Aachen, Continental
Aachen, Schmithof Ardennenstraße
Aachen, Sief Magelspfad
Aachen, Sief Pfeiferweg
Aachen, Schmithof Kirche
Aachen, Schmithof Schule
Aachen, Schmithof Schmithofer Straße
Aachen, Sief Radermacher
Aachen, Sief Schule
Aachen, Sief Wilbank
Aachen, Schmithof Vennbahn
Aachen, Eulersweg
Aachen, Purweider Weg
Aachen, Sonnenweg
Aachen, Soers Tuchwerk
Aachen, Soers Kloster
Aachen, Soers Schule
Aachen, Soerser Au
Aachen, Soerser Winkel
Aachen, Diepenbenden
Aachen, Giselastraße
Aachen, Goldbachstraße
Aachen, Jahnplatz
Aachen, Ronheider Weg
Aachen, St. Vither Straße
Aachen, Zweiweiherweg
Aachen, Vaalserquartier Keltenstraße
Aachen, Kullen
Aachen, Reutershag
Aachen, Vaalserquartier Schmiedgasse
Aachen, Steinbergweg
Aachen, Steppenberg
Aachen, Uniklinik
Aachen, Vaalserquartier Vaals Grenze
Aachen, Verlautenheide Gut-Knapp-Straße
Aachen, Verlautenheide Im Reichswald
Aachen, Verlautenheide Endstraße
Aachen, Verlautenheide Kelmesbergweg
Aachen, Verlautenheide Quinx
Aachen, Verlautenheide Waldstraße
Aachen, Vetschau Bocholtzer Straße
Aachen, Verlautenheide Schwester-Zita-Weg
Aachen, Vetschau
Aachen, Walheim Albert-Einstein-Straße
Aachen, Walheim Freizeitgelände
Aachen, Friesenrath
Aachen, Hahn Kirche
Aachen, Hahn Steinbruch
Aachen, Walheim Hasbach
Aachen, Walheim Hochhausring
Aachen, Walheim Mütschenpfuhl
Aachen, Walheim
Aachen, Walheim Friedhof
Aachen, Walheim Prämienstraße
Aachen, Walheim Schmittchen
Aldenhoven, Alter Bahnhof
Aldenhoven, Industriestraße
Aldenhoven, Jülicher Straße
Aldenhoven, Blumenstraße
Aldenhoven, Friedhof
Aldenhoven, Kapelle
Aldenhoven, Kirche
Aldenhoven, Markt
Aldenhoven, Rathaus
Aldenhoven, Patterner Ring
Aldenhoven, Dürboslar
Aldenhoven, Dürboslar Heerstraße
Aldenhoven, Abzw. Niedermerz
Aldenhoven, Gewerbegebiet Ost
Aldenhoven, Niedermerz Weiler Hausen
Aldenhoven, Freialdenhoven Post
Aldenhoven, Freialdenhoven Lindenend
